Transaction_ID,Date,Store_Location,Product_Category,Product_Name,Quantity_Sold,Unit_Price,Discount,Revenue,Inventory_Level,Supplier,Customer_Segment,Sales_to_Stock_Ratio
TXN00015,2025-02-07,Eldoret,electronics,Bluetooth wireless earbuds,27.0,2593.29,15.0,69449.43,690.0,ABC Ltd,retail,0.03907380607814761
TXN00016,2024-07-10,Mombasa,electronics,Bluetooth wireless earbuds,27.0,2593.29,20.0,96575.43,831.0,ABC Ltd,wholesale,0.03245192307692308
TXN00017,2024-09-24,Mombasa,electronics,Bluetooth wireless earbuds,27.0,2593.29,15.0,30448.93,378.0,Prime Supply,vip,0.0712401055408971
Unknown,2025-11-12,Nakuru,grocery,Fresh Bananas,27.0,2593.29,20.0,50965.44,478.0,Unknown,wholesale,0.05636743215031315
Unknown,2025-08-23,Nairobi,fashion,Graphic T-shirt,34.0,2593.29,0.0,40251.88,478.0,ABC Ltd,retail,0.0709812108559499
TXN00020,2024-07-16,Nakuru,grocery,Fresh Bananas,27.0,2593.29,5.0,50965.44,577.0,XYZ Traders,wholesale,0.04671280276816609
TXN00021,2025-11-07,Mombasa,fashion,Graphic T-shirt,37.0,2593.29,5.0,50965.44,478.0,Unknown,retail,0.07724425887265135
TXN00022,2024-03-05,Eldoret,electronics,Bluetooth wireless earbuds,27.0,4834.51,10.0,64246.24,478.0,ABC Ltd,vip,0.05636743215031315
TXN00023,2025-02-07,Mombasa,electronics,Bluetooth wireless earbuds,27.0,2676.18,0.0,61835.71,478.0,XYZ Traders,vip,0.05636743215031315
Unknown,2025-08-10,Nairobi,grocery,Fresh Bananas,28.0,2593.29,15.0,20239.65,478.0,ABC Ltd,retail,0.05845511482254697
TXN00025,2024-02-09,Nairobi,fashion,Graphic T-shirt,27.0,2593.29,10.0,73327.28,707.0,Prime Supply,retail,0.038135593220338986
TXN00026,2025-03-28,Mombasa,electronics,Bluetooth wireless earbuds,29.0,2593.29,10.0,28470.67,478.0,ABC Ltd,retail,0.060542797494780795
TXN00027,2025-04-01,Mombasa,grocery,Fresh Bananas,27.0,2593.29,15.0,50965.44,478.0,Prime Supply,retail,0.05636743215031315
Unknown,2024-01-04,Kisumu,fashion,Graphic T-shirt,27.0,2593.29,5.0,2033.58,478.0,Prime Supply,wholesale,0.05636743215031315
Unknown,2024-02-14,Nairobi,grocery,Fresh Bananas,25.0,2593.29,10.0,50965.44,478.0,Unknown,retail,0.05219206680584551
TXN00030,2025-08-06,Kisumu,electronics,Bluetooth wireless earbuds,27.0,2593.29,15.0,50965.44,478.0,Prime Supply,wholesale,0.05636743215031315
TXN00031,2025-07-18,Kisumu,grocery,Fresh Bananas,33.0,2593.29,20.0,50965.44,253.0,ABC Ltd,retail,0.12992125984251968
TXN00032,2025-03-18,Eldoret,fashion,Graphic T-shirt,27.0,2593.29,10.0,35633.6,478.0,ABC Ltd,vip,0.05636743215031315
Unknown,2024-08-14,Kisumu,home,Air Fryer,45.0,2593.29,20.0,50965.44,638.0,Unknown,vip,0.07042253521126761
Unknown,2024-12-06,Mombasa,grocery,Fresh Bananas,27.0,2593.29,20.0,55671.36,478.0,Unknown,retail,0.05636743215031315
TXN00035,2025-06-07,Eldoret,electronics,Bluetooth wireless earbuds,42.0,2593.29,10.0,72429.47,478.0,Unknown,retail,0.08768267223382047
Unknown,2025-05-25,Nakuru,electronics,Bluetooth wireless earbuds,27.0,2593.29,20.0,50965.44,910.0,Prime Supply,wholesale,0.029637760702524697
TXN00037,2025-06-24,Mombasa,fashion,Graphic T-shirt,27.0,2593.29,10.0,50965.44,478.0,ABC Ltd,wholesale,0.05636743215031315
Unknown,2024-12-16,Mombasa,grocery,Fresh Bananas,48.0,280.22,5.0,40575.59,315.0,XYZ Traders,vip,0.1518987341772152
Unknown,2025-06-02,Mombasa,fashion,Graphic T-shirt,26.0,2593.29,5.0,29771.63,963.0,Unknown,retail,0.026970954356846474
Unknown,2024-03-11,Nakuru,grocery,Fresh Bananas,27.0,2593.29,0.0,50965.44,885.0,Unknown,retail,0.030474040632054177
TXN00041,2025-06-21,Kisumu,fashion,Graphic T-shirt,27.0,2593.29,5.0,64963.68,388.0,Prime Supply,wholesale,0.06940874035989718
Unknown,2024-05-14,Nakuru,fashion,Graphic T-shirt,17.0,2593.29,10.0,50965.44,353.0,XYZ Traders,retail,0.0480225988700565
TXN00043,2025-11-30,Eldoret,fashion,Graphic T-shirt,27.0,2593.29,0.0,78840.28,478.0,Prime Supply,retail,0.05636743215031315
Unknown,2025-05-04,Nairobi,fashion,Graphic T-shirt,27.0,1139.5,10.0,50965.44,478.0,ABC Ltd,retail,0.05636743215031315
TXN00045,2024-12-08,Eldoret,home,Air Fryer,23.0,2593.29,15.0,50965.44,478.0,XYZ Traders,retail,0.04801670146137787
TXN00046,2024-02-19,Eldoret,fashion,Graphic T-shirt,18.0,2593.29,15.0,50965.44,832.0,Unknown,retail,0.021608643457382955
Unknown,2024-06-18,Kisumu,fashion,Graphic T-shirt,50.0,2593.29,10.0,96576.03,10.0,XYZ Traders,wholesale,4.545454545454546
TXN00048,2024-04-08,Kisumu,grocery,Fresh Bananas,27.0,3916.24,20.0,50965.44,728.0,ABC Ltd,wholesale,0.037037037037037035
TXN00049,2025-11-16,Nakuru,electronics,Bluetooth wireless earbuds,27.0,2593.29,5.0,44529.21,478.0,Prime Supply,vip,0.05636743215031315
Unknown,2024-08-07,Nakuru,electronics,Bluetooth wireless earbuds,27.0,3071.63,15.0,50965.44,478.0,Unknown,retail,0.05636743215031315
TXN00051,2025-12-05,Nairobi,grocery,Fresh Bananas,33.0,2593.29,15.0,50965.44,478.0,Unknown,retail,0.06889352818371608
Unknown,2025-06-07,Kisumu,fashion,Graphic T-shirt,27.0,2593.29,10.0,57633.26,756.0,Unknown,wholesale,0.035667107001321
TXN00053,2025-02-11,Kisumu,fashion,Graphic T-shirt,49.0,2593.29,10.0,50965.44,434.0,Prime Supply,retail,0.11264367816091954
TXN00054,2025-06-30,Mombasa,home,Air Fryer,39.0,2593.29,10.0,48023.79,478.0,Unknown,vip,0.081419624217119
TXN00055,2024-03-28,Nakuru,electronics,Bluetooth wireless earbuds,28.0,2593.29,0.0,29018.11,478.0,Prime Supply,retail,0.05845511482254697
TXN00056,2025-08-17,Kisumu,electronics,Bluetooth wireless earbuds,4.0,2593.29,5.0,50965.44,478.0,XYZ Traders,retail,0.008350730688935281
Unknown,2024-06-22,Nairobi,fashion,Graphic T-shirt,27.0,2593.29,15.0,50965.44,310.0,Unknown,retail,0.08681672025723473
TXN00058,2025-08-28,Kisumu,electronics,Bluetooth wireless earbuds,27.0,651.61,10.0,50965.44,165.0,XYZ Traders,retail,0.16265060240963855
TXN00059,2025-01-06,Mombasa,electronics,Bluetooth wireless earbuds,49.0,2593.29,10.0,3832.1,478.0,Prime Supply,vip,0.1022964509394572
Unknown,2024-01-29,Kisumu,electronics,Bluetooth wireless earbuds,43.0,837.62,0.0,60366.92,478.0,XYZ Traders,wholesale,0.08977035490605428
TXN00061,2025-06-06,Eldoret,fashion,Graphic T-shirt,49.0,275.97,5.0,88431.83,503.0,XYZ Traders,wholesale,0.09722222222222222
Unknown,2024-01-13,Eldoret,grocery,Fresh Bananas,23.0,2593.29,0.0,50965.44,478.0,Unknown,retail,0.04801670146137787
TXN00063,2025-06-22,Nakuru,fashion,Graphic T-shirt,27.0,2593.29,15.0,50965.44,478.0,Prime Supply,retail,0.05636743215031315
Unknown,2025-08-12,Nakuru,fashion,Graphic T-shirt,27.0,2593.29,20.0,50965.44,829.0,Prime Supply,vip,0.03253012048192771
Unknown,2025-05-09,Kisumu,electronics,Bluetooth wireless earbuds,46.0,3926.49,5.0,43484.39,478.0,ABC Ltd,vip,0.09603340292275574
Unknown,2025-08-15,Nakuru,home,Air Fryer,35.0,2593.29,10.0,72917.76,892.0,ABC Ltd,wholesale,0.03919372900335946
TXN00067,2025-09-23,Eldoret,fashion,Graphic T-shirt,27.0,2593.29,20.0,45802.61,478.0,Unknown,retail,0.05636743215031315
Unknown,2024-07-30,Eldoret,home,Air Fryer,24.0,2593.29,20.0,50965.44,937.0,Unknown,wholesale,0.0255863539445629
Unknown,2025-12-06,Mombasa,fashion,Graphic T-shirt,27.0,3839.81,10.0,713.47,48.0,ABC Ltd,retail,0.5510204081632653
TXN00070,2025-04-19,Mombasa,home,Air Fryer,10.0,2593.29,0.0,50965.44,478.0,Prime Supply,wholesale,0.020876826722338204
Unknown,2025-01-22,Nakuru,grocery,Fresh Bananas,41.0,2593.29,10.0,50965.44,784.0,Prime Supply,retail,0.05222929936305733
TXN00072,2024-02-23,Kisumu,electronics,Bluetooth wireless earbuds,27.0,2593.29,10.0,12715.41,478.0,Unknown,vip,0.05636743215031315
TXN00073,2025-10-25,Kisumu,fashion,Graphic T-shirt,27.0,4746.14,15.0,50965.44,478.0,Unknown,retail,0.05636743215031315
TXN00074,2024-08-27,Eldoret,fashion,Graphic T-shirt,44.0,2593.29,5.0,36481.46,478.0,Unknown,vip,0.0918580375782881
Unknown,2024-12-19,Nairobi,grocery,Fresh Bananas,39.0,697.09,20.0,27186.510000000002,928.0,Prime Supply,retail,0.04198062432723358
Unknown,2024-03-18,Mombasa,grocery,Fresh Bananas,27.0,1765.3,10.0,50965.44,478.0,Unknown,retail,0.05636743215031315
TXN00077,2025-11-24,Kisumu,electronics,Bluetooth wireless earbuds,27.0,2411.27,10.0,60965.67,478.0,Prime Supply,vip,0.05636743215031315
Unknown,2025-11-13,Nakuru,grocery,Fresh Bananas,22.0,2545.76,10.0,12204.07,478.0,Unknown,retail,0.04592901878914405
TXN00079,2024-10-08,Nakuru,grocery,Fresh Bananas,27.0,2593.29,10.0,50965.44,645.0,Unknown,retail,0.04179566563467492
TXN00080,2024-10-23,Mombasa,electronics,Bluetooth wireless earbuds,27.0,2593.29,5.0,88597.18,478.0,XYZ Traders,wholesale,0.05636743215031315
Unknown,2025-03-17,Eldoret,fashion,Graphic T-shirt,27.0,2593.29,10.0,50965.44,40.0,Unknown,wholesale,0.6585365853658537
TXN00082,2024-01-09,Nairobi,home,Air Fryer,49.0,2593.29,5.0,53193.35,478.0,Prime Supply,retail,0.1022964509394572
TXN00083,2024-12-03,Kisumu,electronics,Bluetooth wireless earbuds,42.0,2593.29,10.0,50965.44,478.0,Unknown,wholesale,0.08768267223382047
TXN00084,2025-03-20,Nairobi,fashion,Graphic T-shirt,35.0,3465.89,15.0,121306.15,241.0,XYZ Traders,retail,0.1446280991735537
TXN00085,2024-02-24,Mombasa,electronics,Bluetooth wireless earbuds,10.0,2334.96,5.0,23349.6,478.0,XYZ Traders,retail,0.020876826722338204
TXN00086,2025-04-17,Eldoret,grocery,Fresh Bananas,27.0,2593.29,10.0,2377.38,655.0,Unknown,retail,0.041158536585365856
TXN00087,2025-03-16,Kisumu,electronics,Bluetooth wireless earbuds,8.0,2593.29,5.0,50965.44,294.0,ABC Ltd,wholesale,0.02711864406779661
TXN00088,2024-02-21,Kisumu,grocery,Fresh Bananas,27.0,3412.42,5.0,50965.44,19.0,Prime Supply,retail,1.35
Unknown,2025-02-16,Eldoret,grocery,Fresh Bananas,27.0,2593.29,10.0,50307.88,302.0,ABC Ltd,wholesale,0.0891089108910891
TXN00090,2025-12-19,Nakuru,grocery,Fresh Bananas,27.0,2593.29,0.0,75184.94,478.0,Unknown,wholesale,0.05636743215031315
Unknown,2024-03-06,Eldoret,fashion,Graphic T-shirt,27.0,2593.29,20.0,50965.44,478.0,Unknown,retail,0.05636743215031315
TXN00092,2024-08-23,Nairobi,grocery,Fresh Bananas,27.0,2593.29,0.0,68588.15,478.0,XYZ Traders,vip,0.05636743215031315
TXN00093,2024-11-12,Kisumu,fashion,Graphic T-shirt,27.0,2593.29,10.0,21828.54,14.0,Prime Supply,vip,1.8
TXN00094,2025-08-30,Mombasa,electronics,Bluetooth wireless earbuds,27.0,2593.29,0.0,73962.51,478.0,Unknown,vip,0.05636743215031315
Unknown,2025-12-04,Nakuru,electronics,Bluetooth wireless earbuds,27.0,2593.29,0.0,50965.44,478.0,Unknown,vip,0.05636743215031315
TXN00096,2025-06-19,Eldoret,grocery,Fresh Bananas,27.0,2593.29,0.0,50965.44,478.0,ABC Ltd,wholesale,0.05636743215031315
TXN00097,2025-02-13,Nakuru,grocery,Fresh Bananas,2.0,271.9,10.0,29125.41,195.0,XYZ Traders,retail,0.01020408163265306
Unknown,2024-01-09,Nakuru,grocery,Fresh Bananas,27.0,2593.29,10.0,50965.44,478.0,Unknown,retail,0.05636743215031315
TXN00099,2025-01-25,Mombasa,electronics,Bluetooth wireless earbuds,27.0,2593.29,10.0,50965.44,6.0,Prime Supply,vip,3.857142857142857
Unknown,2024-01-21,Mombasa,grocery,Fresh Bananas,27.0,341.5,20.0,50965.44,478.0,XYZ Traders,wholesale,0.05636743215031315
TXN00101,2025-11-24,Nakuru,home,Air Fryer,27.0,2593.29,10.0,39849.68,478.0,XYZ Traders,vip,0.05636743215031315
TXN00102,2024-09-09,Kisumu,electronics,Bluetooth wireless earbuds,27.0,2593.29,15.0,65182.14,478.0,Prime Supply,wholesale,0.05636743215031315
TXN00103,2024-04-18,Kisumu,grocery,Fresh Bananas,7.0,2593.29,20.0,63315.75,478.0,Unknown,retail,0.014613778705636743
TXN00104,2025-10-30,Mombasa,electronics,Bluetooth wireless earbuds,29.0,2564.28,10.0,74364.12000000001,329.0,Prime Supply,wholesale,0.08787878787878788
TXN00105,2025-11-17,Mombasa,grocery,Fresh Bananas,27.0,2593.29,10.0,50965.44,478.0,XYZ Traders,wholesale,0.05636743215031315
Unknown,2024-03-06,Mombasa,electronics,Bluetooth wireless earbuds,46.0,2257.87,5.0,103862.01999999999,341.0,Unknown,wholesale,0.13450292397660818
TXN00107,2024-09-20,Nairobi,fashion,Graphic T-shirt,49.0,2593.29,10.0,82243.11,977.0,ABC Ltd,vip,0.050102249488752554
TXN00108,2024-12-18,Nairobi,fashion,Graphic T-shirt,9.0,612.15,10.0,5509.349999999999,642.0,Prime Supply,retail,0.013996889580093312
Unknown,2024-10-11,Mombasa,fashion,Graphic T-shirt,27.0,4497.7,15.0,50965.44,87.0,ABC Ltd,vip,0.3068181818181818
TXN00110,2025-09-26,Eldoret,grocery,Fresh Bananas,13.0,4827.64,5.0,62759.32000000001,478.0,XYZ Traders,vip,0.027139874739039668
Unknown,2024-05-27,Mombasa,home,Air Fryer,38.0,2973.86,10.0,29325.95,182.0,XYZ Traders,wholesale,0.20765027322404372
TXN00112,2025-12-25,Nakuru,electronics,Bluetooth wireless earbuds,36.0,2593.29,15.0,50965.44,478.0,Unknown,vip,0.07515657620041753
Unknown,2024-06-12,Nakuru,fashion,Graphic T-shirt,35.0,2593.29,0.0,70607.43,478.0,Unknown,vip,0.07306889352818371
TXN00114,2025-04-11,Nairobi,electronics,Bluetooth wireless earbuds,28.0,3173.5,15.0,13983.55,929.0,XYZ Traders,retail,0.030107526881720432
Unknown,2025-01-30,Mombasa,fashion,Graphic T-shirt,8.0,2593.29,0.0,97282.06,478.0,Prime Supply,retail,0.016701461377870562
TXN00116,2024-04-09,Mombasa,fashion,Graphic T-shirt,29.0,2593.29,0.0,50965.44,490.0,ABC Ltd,retail,0.059063136456211814
Unknown,2024-08-06,Kisumu,fashion,Graphic T-shirt,27.0,2593.29,15.0,50965.44,455.0,Unknown,vip,0.05921052631578947
TXN00118,2024-08-26,Eldoret,grocery,Fresh Bananas,27.0,2593.29,20.0,50965.44,478.0,ABC Ltd,wholesale,0.05636743215031315
TXN00119,2024-10-24,Nakuru,grocery,Fresh Bananas,21.0,403.37,10.0,8470.77,26.0,ABC Ltd,retail,0.7777777777777778
TXN00120,2024-10-18,Mombasa,grocery,Fresh Bananas,27.0,2593.29,5.0,50965.44,478.0,Prime Supply,wholesale,0.05636743215031315
TXN00121,2025-06-15,Nairobi,electronics,Bluetooth wireless earbuds,28.0,2593.29,10.0,87696.63,490.0,Unknown,retail,0.05702647657841141
TXN00122,2025-11-19,Mombasa,electronics,Bluetooth wireless earbuds,22.0,2593.29,5.0,37029.33,676.0,Unknown,wholesale,0.03249630723781388
Unknown,2025-04-01,Nakuru,fashion,Graphic T-shirt,27.0,2593.29,10.0,85772.53,245.0,Prime Supply,wholesale,0.10975609756097561
TXN00124,2025-04-21,Kisumu,grocery,Fresh Bananas,27.0,2593.29,0.0,97840.88,478.0,ABC Ltd,retail,0.05636743215031315
Unknown,2025-05-11,Mombasa,fashion,Graphic T-shirt,27.0,2593.29,10.0,47689.75,478.0,Unknown,retail,0.05636743215031315
TXN00126,2024-01-10,Kisumu,electronics,Bluetooth wireless earbuds,27.0,877.57,0.0,83742.76,204.0,Unknown,retail,0.13170731707317074
TXN00127,2024-09-12,Nairobi,grocery,Fresh Bananas,27.0,1896.67,10.0,50965.44,6.0,ABC Ltd,retail,3.857142857142857
Unknown,2024-07-21,Eldoret,grocery,Fresh Bananas,27.0,2117.79,15.0,20988.93,478.0,Unknown,wholesale,0.05636743215031315
TXN00129,2025-05-17,Eldoret,grocery,Fresh Bananas,14.0,2593.29,10.0,50965.44,478.0,XYZ Traders,retail,0.029227557411273485
TXN00130,2025-05-22,Mombasa,home,Air Fryer,27.0,2593.29,10.0,86460.51,844.0,Unknown,wholesale,0.03195266272189349
TXN00131,2025-09-02,Kisumu,fashion,Graphic T-shirt,9.0,4318.06,10.0,44557.58,478.0,ABC Ltd,retail,0.018789144050104383
TXN00132,2024-09-29,Kisumu,grocery,Fresh Bananas,27.0,2593.29,10.0,83390.67,458.0,Prime Supply,wholesale,0.058823529411764705
TXN00133,2025-03-21,Eldoret,fashion,Graphic T-shirt,12.0,1338.15,10.0,7367.89,478.0,Prime Supply,retail,0.025052192066805846
TXN00134,2024-02-08,Eldoret,electronics,Bluetooth wireless earbuds,28.0,2593.29,20.0,50965.44,478.0,XYZ Traders,retail,0.05845511482254697
Unknown,2025-09-06,Kisumu,grocery,Fresh Bananas,27.0,2593.29,5.0,19295.67,450.0,Prime Supply,vip,0.0598669623059867
Unknown,2025-05-11,Eldoret,fashion,Graphic T-shirt,40.0,2593.29,0.0,50965.44,478.0,XYZ Traders,retail,0.08350730688935282
Unknown,2025-03-04,Nairobi,grocery,Fresh Bananas,27.0,3750.3,20.0,86784.5,468.0,Unknown,wholesale,0.057569296375266525
TXN00138,2025-03-04,Nairobi,electronics,Bluetooth wireless earbuds,7.0,2593.29,10.0,50965.44,691.0,Prime Supply,vip,0.010115606936416185
TXN00139,2024-12-27,Eldoret,grocery,Fresh Bananas,27.0,2593.29,20.0,63141.33,207.0,Unknown,retail,0.12980769230769232
Unknown,2024-08-08,Mombasa,electronics,Bluetooth wireless earbuds,27.0,2593.29,10.0,50965.44,157.0,XYZ Traders,wholesale,0.17088607594936708
TXN00141,2024-10-15,Nakuru,electronics,Bluetooth wireless earbuds,6.0,2593.29,10.0,8174.11,478.0,Unknown,retail,0.012526096033402923
TXN00142,2024-04-16,Mombasa,electronics,Bluetooth wireless earbuds,3.0,3331.16,10.0,2592.57,880.0,XYZ Traders,retail,0.00340522133938706
Unknown,2025-10-05,Mombasa,electronics,Bluetooth wireless earbuds,50.0,2593.29,10.0,50965.44,478.0,XYZ Traders,retail,0.10438413361169102
TXN00144,2024-07-23,Mombasa,electronics,Bluetooth wireless earbuds,15.0,2593.29,20.0,50965.44,478.0,Unknown,vip,0.031315240083507306
Unknown,2024-11-05,Nairobi,grocery,Fresh Bananas,27.0,4142.02,0.0,50965.44,580.0,Unknown,retail,0.04647160068846816
TXN00146,2024-12-09,Nakuru,electronics,Bluetooth wireless earbuds,10.0,4763.66,10.0,24721.62,478.0,Prime Supply,wholesale,0.020876826722338204
TXN00147,2024-06-03,Kisumu,electronics,Bluetooth wireless earbuds,6.0,2593.29,0.0,50965.44,726.0,Unknown,retail,0.008253094910591471
TXN00148,2025-02-27,Nairobi,electronics,Bluetooth wireless earbuds,26.0,2593.29,0.0,50965.44,138.0,XYZ Traders,wholesale,0.18705035971223022
TXN00149,2024-04-15,Kisumu,home,Air Fryer,27.0,286.84,10.0,75503.14,478.0,Prime Supply,retail,0.05636743215031315
Unknown,2025-12-19,Nairobi,grocery,Fresh Bananas,50.0,2593.29,10.0,18106.89,105.0,Unknown,vip,0.4716981132075472
Unknown,2025-01-29,Mombasa,electronics,Bluetooth wireless earbuds,2.0,2206.97,5.0,49548.42,478.0,Unknown,retail,0.0041753653444676405
TXN00152,2024-07-30,Mombasa,grocery,Fresh Bananas,27.0,2593.29,5.0,8228.13,478.0,Prime Supply,retail,0.05636743215031315
Unknown,2025-09-01,Mombasa,grocery,Fresh Bananas,27.0,2593.29,15.0,50965.44,726.0,Unknown,retail,0.037138927097661624
TXN00154,2025-09-03,Nakuru,electronics,Bluetooth wireless earbuds,29.0,2593.29,10.0,48199.44,478.0,Prime Supply,vip,0.060542797494780795
TXN00155,2024-07-26,Kisumu,grocery,Fresh Bananas,11.0,3157.74,20.0,73699.13,478.0,Prime Supply,retail,0.022964509394572025
TXN00156,2024-09-10,Eldoret,fashion,Graphic T-shirt,37.0,2593.29,20.0,97102.07,478.0,Unknown,retail,0.07724425887265135
Unknown,2024-04-25,Eldoret,fashion,Graphic T-shirt,12.0,3638.92,20.0,71865.9,478.0,Unknown,retail,0.025052192066805846
TXN00158,2025-10-21,Nakuru,home,Air Fryer,15.0,4550.49,5.0,18164.32,478.0,Unknown,wholesale,0.031315240083507306
Unknown,2025-12-03,Nakuru,grocery,Fresh Bananas,27.0,2593.29,0.0,50965.44,139.0,XYZ Traders,retail,0.19285714285714287
Unknown,2025-04-17,Nairobi,grocery,Fresh Bananas,27.0,448.31,10.0,50965.44,182.0,Unknown,retail,0.14754098360655737
TXN00161,2025-06-06,Kisumu,fashion,Graphic T-shirt,13.0,1188.85,0.0,39066.08,478.0,Unknown,retail,0.027139874739039668
TXN00162,2024-07-12,Eldoret,home,Air Fryer,22.0,4175.72,10.0,91865.84000000001,425.0,Prime Supply,wholesale,0.051643192488262914
TXN00163,2025-04-20,Eldoret,home,Air Fryer,27.0,2593.29,5.0,50965.44,478.0,Prime Supply,retail,0.05636743215031315
Unknown,2024-05-03,Kisumu,electronics,Bluetooth wireless earbuds,48.0,2593.29,10.0,50965.44,478.0,XYZ Traders,retail,0.10020876826722339
TXN00165,2025-02-18,Kisumu,grocery,Fresh Bananas,27.0,2593.29,10.0,50965.44,290.0,ABC Ltd,vip,0.09278350515463918
TXN00166,2025-06-06,Nakuru,home,Air Fryer,10.0,2593.29,0.0,50965.44,478.0,ABC Ltd,retail,0.020876826722338204
TXN00167,2025-10-23,Nakuru,fashion,Graphic T-shirt,27.0,2593.29,0.0,50965.44,478.0,Unknown,vip,0.05636743215031315
Unknown,2025-07-22,Kisumu,grocery,Fresh Bananas,47.0,881.08,5.0,59198.21,56.0,Unknown,retail,0.8245614035087719
Unknown,2024-04-02,Kisumu,electronics,Bluetooth wireless earbuds,35.0,3388.15,10.0,118585.25,478.0,Unknown,retail,0.07306889352818371
TXN00170,2024-11-07,Nakuru,fashion,Graphic T-shirt,27.0,2593.29,5.0,18139.23,478.0,Prime Supply,retail,0.05636743215031315
TXN00171,2025-07-29,Mombasa,fashion,Graphic T-shirt,36.0,2593.29,5.0,27877.52,493.0,Unknown,wholesale,0.0728744939271255
TXN00172,2024-03-09,Mombasa,grocery,Fresh Bananas,27.0,2593.29,10.0,98321.05,67.0,Unknown,vip,0.39705882352941174
TXN00173,2024-11-30,Nairobi,grocery,Fresh Bananas,43.0,743.36,5.0,45263.18,828.0,Prime Supply,vip,0.05186972255729795
Unknown,2024-07-28,Nakuru,home,Air Fryer,27.0,514.46,15.0,26749.06,536.0,Unknown,retail,0.05027932960893855
Unknown,2025-04-09,Eldoret,fashion,Graphic T-shirt,14.0,2593.29,10.0,50965.44,452.0,Unknown,retail,0.03090507726269316
Unknown,2024-11-13,Kisumu,grocery,Fresh Bananas,27.0,2593.29,10.0,50965.44,478.0,XYZ Traders,wholesale,0.05636743215031315
TXN00177,2025-12-15,Nakuru,grocery,Fresh Bananas,33.0,2593.29,10.0,50965.44,478.0,XYZ Traders,retail,0.06889352818371608
Unknown,2025-09-21,Eldoret,home,Air Fryer,37.0,2593.29,10.0,3922.9,478.0,Unknown,retail,0.07724425887265135
TXN00179,2024-09-09,Kisumu,electronics,Bluetooth wireless earbuds,42.0,3332.36,10.0,63266.5,478.0,ABC Ltd,vip,0.08768267223382047
TXN00180,2025-06-28,Nakuru,home,Air Fryer,22.0,4802.26,15.0,94154.87,478.0,Prime Supply,retail,0.04592901878914405
Unknown,2025-05-24,Kisumu,electronics,Bluetooth wireless earbuds,35.0,2492.2,10.0,87227.0,826.0,XYZ Traders,wholesale,0.04232164449818621
TXN00182,2025-12-14,Nairobi,grocery,Fresh Bananas,27.0,509.72,5.0,20298.94,478.0,Prime Supply,retail,0.05636743215031315
TXN00183,2025-12-17,Nairobi,fashion,Graphic T-shirt,27.0,2593.29,10.0,50965.44,208.0,Unknown,vip,0.1291866028708134
TXN00184,2024-10-11,Mombasa,home,Air Fryer,9.0,2593.29,10.0,16405.27,478.0,ABC Ltd,vip,0.018789144050104383
Unknown,2024-09-23,Mombasa,home,Air Fryer,7.0,2593.29,10.0,50965.44,478.0,Prime Supply,retail,0.014613778705636743
