Transaction_ID,Date,Store_Location,Product_Category,Product_Name,Quantity_Sold,Unit_Price,Discount,Revenue,Inventory_Level,Supplier,Customer_Segment
TXN00031,2025-07-18,Kisumu,Grocery,For,33,,20,,253,ABC Ltd,Retail
TXN00032,2025-03-18,Eldoret,Fashion,Structure,27,,,35633.6,,ABC Ltd,VIP
,2024-08-14,Kisumu,Home,Provide,45,,20,,638,,VIP
,2024-12-06,Mombasa,Groceries,Appear,,,20,55671.36,,,retail
TXN00035,2025-06-07,Eldoret,Electronics,Stay,42,,,72429.47,,,retail
,2025-05-25,Nakuru,Electronics,Tell,,,20,,910,Prime Supply,Wholesale
TXN00037,2025-06-24,Mombasa,fashion,Moment,,,10,,,ABC Ltd,Wholesale
,2024-12-16,Mombasa,Grocery,Hard,48,280.22,5,40575.59,315,XYZ Traders,VIP
,2025-06-02,Mombasa,Fashion,Million,26,,5,29771.63,963,,Retail
,2024-03-11,Nakuru,Grocery,Cause,,,0,,885,,retail
TXN00041,2025-06-21,Kisumu,fashion,Chance,,,5,64963.68,388,Prime Supply,Wholesale
,2024-05-14,Nakuru,fashion,Factor,17,,,,353,XYZ Traders,Retail
TXN00043,2025-11-30,Eldoret,Fashion,Watch,,,0,78840.28,,Prime Supply,Retail
,2025-05-04,Nairobi,Fashion,Site,,1139.5,N/A,,,ABC Ltd,Retail
TXN00045,2024-12-08,Eldoret,Home,Yard,23,,15,,,XYZ Traders,Retail
TXN00046,2024-02-19,Eldoret,fashion,Upon,18,,15,,832,,Retail
,2024-06-18,Kisumu,Fashion,Ready,50,,10,96576.03,10,XYZ Traders,Wholesale
TXN00048,2024-04-08,Kisumu,Grocery,Perform,,3916.24,20,,728,ABC Ltd,Wholesale
TXN00049,2025-11-16,Nakuru,electronics,Your,,,5,44529.21,,Prime Supply,VIP
,2024-08-07,Nakuru,Electronics,Company,,3071.63,15,,,,retail
TXN00051,2025-12-05,Nairobi,Grocery,Indeed,33,,15,,,,Retail
,2025-06-07,Kisumu,Fashion,Bill,,,N/A,57633.26,756,,Wholesale
TXN00053,2025-02-11,Kisumu,Fashion,Seat,49,,10,,434,Prime Supply,Retail
TXN00054,2025-06-30,Mombasa,Home,Example,39,,N/A,48023.79,,,VIP
TXN00055,2024-03-28,Nakuru,electronics,Save,28,,0,29018.11,,Prime Supply,retail
TXN00056,2025-08-17,Kisumu,Electronics,Need,4,,5,,,XYZ Traders,Retail
,2024-06-22,Nairobi,Fashion,I,,,15,,310,,retail
TXN00058,2025-08-28,Kisumu,Electronics,News,,651.61,10,,165,XYZ Traders,Retail
TXN00059,2025-01-06,Mombasa,electronics,Forward,49,,,3832.1,,Prime Supply,VIP
,2024-01-29,Kisumu,Electronics,Suggest,43,837.62,0,60366.92,,XYZ Traders,Wholesale
TXN00061,2025-06-06,Eldoret,fashion,Firm,49,275.97,5,88431.83,503,XYZ Traders,Wholesale
,2024-01-13,Eldoret,Groceries,Market,23,,0,,,,Retail
TXN00063,2025-06-22,Nakuru,Fashion,Adult,,,15,,,Prime Supply,retail
,2025-08-12,Nakuru,Fashion,Close,,,20,,829,Prime Supply,VIP
,2025-05-09,Kisumu,Electronics,Technology,46,3926.49,5,43484.39,,ABC Ltd,VIP
,2025-08-15,Nakuru,Home,Discuss,35,,10,72917.76,892,ABC Ltd,Wholesale
TXN00067,2025-09-23,Eldoret,Fashion,Heavy,,,20,45802.61,,,retail
,2024-07-30,Eldoret,Home,Put,24,,20,,937,,Wholesale
,2025-12-06,Mombasa,fashion,Official,,3839.81,N/A,713.47,48,ABC Ltd,Retail
TXN00070,2025-04-19,Mombasa,Home,Term,10,,0,,,Prime Supply,Wholesale
,2025-01-22,Nakuru,Groceries,National,41,,10,,784,Prime Supply,retail
TXN00072,2024-02-23,Kisumu,Electronics,Someone,,,,12715.41,,,VIP
TXN00073,2025-10-25,Kisumu,fashion,Age,,4746.14,15,,,,Retail
TXN00074,2024-08-27,Eldoret,Fashion,Offer,44,,5,36481.46,,,VIP
,2024-12-19,Nairobi,Grocery,Probably,39,697.09,20,,928,Prime Supply,retail
,2024-03-18,Mombasa,Groceries,Improve,,1765.3,N/A,,,,retail
TXN00077,2025-11-24,Kisumu,Electronics,Carry,,2411.27,N/A,60965.67,,Prime Supply,VIP
,2025-11-13,Nakuru,Groceries,Beat,22,2545.76,N/A,12204.07,,,Retail
TXN00079,2024-10-08,Nakuru,Grocery,Give,,,10,,645,,retail
TXN00080,2024-10-23,Mombasa,Electronics,Important,,,5,88597.18,,XYZ Traders,Wholesale
,2025-03-17,Eldoret,Fashion,Significant,,,10,,40,,Wholesale
TXN00082,2024-01-09,Nairobi,Home,Bring,49,,5,53193.35,,Prime Supply,retail
TXN00083,2024-12-03,Kisumu,electronics,Be,42,,N/A,,,,Wholesale
TXN00084,2025-03-20,Nairobi,fashion,Hope,35,3465.89,15,,241,XYZ Traders,retail
TXN00085,2024-02-24,Mombasa,electronics,Yet,10,2334.96,5,,,XYZ Traders,retail
TXN00086,2025-04-17,Eldoret,Grocery,Paper,,,10,2377.38,655,,retail
TXN00087,2025-03-16,Kisumu,Electronics,Alone,8,,5,,294,ABC Ltd,Wholesale
TXN00088,2024-02-21,Kisumu,Grocery,Kitchen,,3412.42,5,,19,Prime Supply,Retail
,2025-02-16,Eldoret,Grocery,Idea,,,,50307.88,302,ABC Ltd,Wholesale
TXN00090,2025-12-19,Nakuru,Groceries,Air,,,0,75184.94,,,Wholesale
,2024-03-06,Eldoret,Fashion,Movie,,,20,,,,Retail
TXN00092,2024-08-23,Nairobi,Grocery,Next,,,0,68588.15,,XYZ Traders,VIP
TXN00093,2024-11-12,Kisumu,Fashion,Live,,,,21828.54,14,Prime Supply,VIP
TXN00094,2025-08-30,Mombasa,electronics,Father,,,0,73962.51,,,VIP
,2025-12-04,Nakuru,Electronics,Agency,,,0,,,,VIP
TXN00096,2025-06-19,Eldoret,Groceries,Oil,,,0,,,ABC Ltd,Wholesale
TXN00097,2025-02-13,Nakuru,Groceries,Arrive,2,271.9,10,29125.41,195,XYZ Traders,retail
,2024-01-09,Nakuru,Grocery,Notice,,,N/A,,,,retail
TXN00099,2025-01-25,Mombasa,Electronics,Manager,,,N/A,,6,Prime Supply,VIP
,2024-01-21,Mombasa,Grocery,Approach,,341.5,20,,,XYZ Traders,Wholesale
TXN00101,2025-11-24,Nakuru,Home,Interview,,,10,39849.68,,XYZ Traders,VIP
TXN00102,2024-09-09,Kisumu,Electronics,Source,,,15,65182.14,,Prime Supply,Wholesale
TXN00103,2024-04-18,Kisumu,Grocery,Measure,7,,20,63315.75,,,retail
TXN00104,2025-10-30,Mombasa,electronics,Officer,29,2564.28,,,329,Prime Supply,Wholesale
TXN00105,2025-11-17,Mombasa,Grocery,Prepare,,,10,,,XYZ Traders,Wholesale
,2024-03-06,Mombasa,electronics,Baby,46,2257.87,5,,341,,Wholesale
TXN00107,2024-09-20,Nairobi,Fashion,Pattern,49,,N/A,82243.11,977,ABC Ltd,VIP
TXN00108,2024-12-18,Nairobi,fashion,Career,9,612.15,10,,642,Prime Supply,retail
,2024-10-11,Mombasa,fashion,Theory,,4497.7,15,,87,ABC Ltd,VIP
TXN00110,2025-09-26,Eldoret,Groceries,Throughout,13,4827.64,5,,,XYZ Traders,VIP
,2024-05-27,Mombasa,Home,Think,38,2973.86,,29325.95,182,XYZ Traders,Wholesale
TXN00112,2025-12-25,Nakuru,electronics,My,36,,15,,,,VIP
,2024-06-12,Nakuru,fashion,Least,35,,0,70607.43,,,VIP
TXN00114,2025-04-11,Nairobi,Electronics,Truth,28,3173.5,15,13983.55,929,XYZ Traders,retail
,2025-01-30,Mombasa,Fashion,Wish,8,,0,97282.06,,Prime Supply,Retail
TXN00116,2024-04-09,Mombasa,fashion,Support,29,,0,,490,ABC Ltd,retail
,2024-08-06,Kisumu,fashion,Story,,,15,,455,,VIP
TXN00118,2024-08-26,Eldoret,Grocery,Theory,,,20,,,ABC Ltd,Wholesale
TXN00119,2024-10-24,Nakuru,Grocery,Adult,21,403.37,10,,26,ABC Ltd,retail
TXN00120,2024-10-18,Mombasa,Grocery,Position,,,5,,,Prime Supply,Wholesale
TXN00121,2025-06-15,Nairobi,Electronics,Increase,28,,10,87696.63,490,,Retail
TXN00122,2025-11-19,Mombasa,electronics,Learn,22,,5,37029.33,676,,Wholesale
,2025-04-01,Nakuru,fashion,Material,,,10,85772.53,245,Prime Supply,Wholesale
TXN00124,2025-04-21,Kisumu,Grocery,Kind,,,0,97840.88,,ABC Ltd,retail
,2025-05-11,Mombasa,Fashion,Language,,,10,47689.75,,,retail
TXN00126,2024-01-10,Kisumu,electronics,Road,,877.57,0,83742.76,204,,Retail
TXN00127,2024-09-12,Nairobi,Grocery,Yard,,1896.67,10,,6,ABC Ltd,Retail
,2024-07-21,Eldoret,Groceries,Project,,2117.79,15,20988.93,,,Wholesale
TXN00129,2025-05-17,Eldoret,Groceries,Decade,14,,N/A,,,XYZ Traders,retail
TXN00130,2025-05-22,Mombasa,Home,Team,,,,86460.51,844,,Wholesale
TXN00131,2025-09-02,Kisumu,Fashion,Deep,9,4318.06,,44557.58,,ABC Ltd,retail
TXN00132,2024-09-29,Kisumu,Groceries,Public,,,10,83390.67,458,Prime Supply,Wholesale
TXN00133,2025-03-21,Eldoret,fashion,Share,12,1338.15,,7367.89,,Prime Supply,Retail
TXN00134,2024-02-08,Eldoret,electronics,Power,28,,20,,,XYZ Traders,retail
,2025-09-06,Kisumu,Grocery,Audience,,,5,19295.67,450,Prime Supply,VIP
,2025-05-11,Eldoret,Fashion,Way,40,,0,,,XYZ Traders,Retail
,2025-03-04,Nairobi,Groceries,Great,,3750.3,20,86784.5,468,,Wholesale
TXN00138,2025-03-04,Nairobi,electronics,A,7,,10,,691,Prime Supply,VIP
TXN00139,2024-12-27,Eldoret,Grocery,Sit,,,20,63141.33,207,,retail
,2024-08-08,Mombasa,electronics,Reality,,,10,,157,XYZ Traders,Wholesale
TXN00141,2024-10-15,Nakuru,electronics,Among,6,,,8174.11,,,retail
TXN00142,2024-04-16,Mombasa,electronics,Him,3,3331.16,,2592.57,880,XYZ Traders,retail
,2025-10-05,Mombasa,Electronics,Brother,50,,N/A,,,XYZ Traders,Retail
TXN00144,2024-07-23,Mombasa,electronics,Put,15,,20,,,,VIP
,2024-11-05,Nairobi,Grocery,Design,,4142.02,0,,580,,Retail
TXN00146,2024-12-09,Nakuru,Electronics,Analysis,10,4763.66,10,24721.62,,Prime Supply,Wholesale
TXN00147,2024-06-03,Kisumu,Electronics,Light,6,,0,,726,,Retail
TXN00148,2025-02-27,Nairobi,Electronics,House,26,,0,,138,XYZ Traders,Wholesale
TXN00149,2024-04-15,Kisumu,Home,General,,286.84,10,75503.14,,Prime Supply,retail
,2025-12-19,Nairobi,Groceries,Various,50,,,18106.89,105,,VIP
,2025-01-29,Mombasa,Electronics,Suggest,2,2206.97,5,49548.42,,,retail
TXN00152,2024-07-30,Mombasa,Groceries,Fall,,,5,8228.13,,Prime Supply,retail
,2025-09-01,Mombasa,Grocery,Measure,,,15,,726,,retail
TXN00154,2025-09-03,Nakuru,Electronics,Series,29,,,48199.44,,Prime Supply,VIP
TXN00155,2024-07-26,Kisumu,Groceries,Memory,11,3157.74,20,73699.13,,Prime Supply,retail
TXN00156,2024-09-10,Eldoret,fashion,Goal,37,,20,97102.07,,,retail
,2024-04-25,Eldoret,Fashion,Glass,12,3638.92,20,71865.9,,,Retail
TXN00158,2025-10-21,Nakuru,Home,Down,15,4550.49,5,18164.32,,,Wholesale
,2025-12-03,Nakuru,Groceries,Teacher,,,0,,139,XYZ Traders,Retail
,2025-04-17,Nairobi,Grocery,Management,,448.31,10,,182,,Retail
TXN00161,2025-06-06,Kisumu,fashion,Box,13,1188.85,0,39066.08,,,retail
TXN00162,2024-07-12,Eldoret,Home,State,22,4175.72,10,,425,Prime Supply,Wholesale
TXN00163,2025-04-20,Eldoret,Home,Effort,,,5,,,Prime Supply,retail
,2024-05-03,Kisumu,Electronics,Too,48,,N/A,,,XYZ Traders,Retail
TXN00165,2025-02-18,Kisumu,Grocery,Seat,,,N/A,,290,ABC Ltd,VIP
TXN00166,2025-06-06,Nakuru,Home,Character,10,,0,,,ABC Ltd,Retail
TXN00167,2025-10-23,Nakuru,fashion,Picture,,,0,,,,VIP
,2025-07-22,Kisumu,Groceries,Pressure,47,881.08,5,59198.21,56,,Retail
,2024-04-02,Kisumu,Electronics,Treat,35,3388.15,,,,,Retail
TXN00170,2024-11-07,Nakuru,Fashion,Manager,,,5,18139.23,,Prime Supply,Retail
TXN00171,2025-07-29,Mombasa,Fashion,Watch,36,,5,27877.52,493,,Wholesale
TXN00172,2024-03-09,Mombasa,Grocery,Upon,,,N/A,98321.05,67,,VIP
TXN00173,2024-11-30,Nairobi,Grocery,Western,43,743.36,5,45263.18,828,Prime Supply,VIP
,2024-07-28,Nakuru,Home,Speech,,514.46,15,26749.06,536,,Retail
,2025-04-09,Eldoret,Fashion,Couple,14,,10,,452,,Retail
,2024-11-13,Kisumu,Groceries,Worker,,,,,,XYZ Traders,Wholesale
TXN00177,2025-12-15,Nakuru,Grocery,Education,33,,10,,,XYZ Traders,Retail
,2025-09-21,Eldoret,Home,Daughter,37,,10,3922.9,,,retail
TXN00179,2024-09-09,Kisumu,electronics,Sound,42,3332.36,N/A,63266.5,,ABC Ltd,VIP
TXN00180,2025-06-28,Nakuru,Home,Congress,22,4802.26,15,94154.87,,Prime Supply,Retail
,2025-05-24,Kisumu,Electronics,Director,35,2492.2,10,,826,XYZ Traders,Wholesale
TXN00182,2025-12-14,Nairobi,Groceries,Could,,509.72,5,20298.94,,Prime Supply,retail
TXN00183,2025-12-17,Nairobi,Fashion,Computer,,,N/A,,208,,VIP
TXN00184,2024-10-11,Mombasa,Home,Seven,9,,,16405.27,,ABC Ltd,VIP
,2024-09-23,Mombasa,Home,Ever,7,,,,,Prime Supply,retail
TXN00186,2025-04-05,Nairobi,fashion,Play,43,,15,,,,Retail
,2025-04-05,Eldoret,Electronics,Social,16,,0,30551.96,809,Prime Supply,VIP
TXN00188,2024-08-26,Nakuru,Fashion,Scientist,2,,15,,927,,VIP
TXN00189,2024-06-06,Nakuru,Electronics,Occur,,,N/A,,,,Wholesale
TXN00190,2024-05-22,Nakuru,fashion,Environment,,2933.65,20,52665.41,,,VIP
,2025-09-11,Kisumu,Electronics,Generation,,,5,55526.6,,Prime Supply,Retail
TXN00192,2025-09-03,Eldoret,Grocery,Eight,,,0,83444.16,977,ABC Ltd,VIP
,2025-02-24,Mombasa,fashion,Own,42,276.11,20,53909.59,714,Prime Supply,Retail
TXN00194,2025-04-24,Nairobi,Grocery,Actually,,3277.51,N/A,,14,XYZ Traders,VIP
TXN00195,2025-01-16,Nairobi,fashion,Hope,30,393.29,20,,,Prime Supply,Wholesale
TXN00196,2025-06-18,Eldoret,fashion,These,,3026.23,20,,,ABC Ltd,Wholesale
TXN00197,2024-07-04,Nakuru,Grocery,Than,29,,10,73592.28,662,ABC Ltd,Retail
TXN00198,2024-05-04,Nakuru,Grocery,Instead,,,,,,,Wholesale
TXN00199,2024-01-02,Nairobi,electronics,Floor,42,2838.96,N/A,62170.3,,,VIP
TXN00200,2024-05-19,Nakuru,Fashion,Southern,,4734.14,0,,706,,retail
TXN00201,2025-08-15,Nairobi,Fashion,Industry,29,,10,,,ABC Ltd,Retail
TXN00202,2024-04-13,Nakuru,Grocery,Owner,22,,15,,89,,retail
,2024-05-25,Nakuru,fashion,Artist,3,,15,22068.88,998,ABC Ltd,retail
TXN00204,2024-02-04,Mombasa,Fashion,Kid,,2252.4,,,196,XYZ Traders,VIP
TXN00205,2024-11-11,Mombasa,Home,State,,648.62,5,66858.9,,,Wholesale
TXN00206,2024-09-09,Nakuru,Electronics,Somebody,48,,5,,,XYZ Traders,Wholesale
TXN00207,2025-07-15,Eldoret,Fashion,Race,,,,74952.76,,XYZ Traders,Retail
,2025-08-06,Nairobi,fashion,Discover,8,,20,91604.38,690,ABC Ltd,Wholesale
TXN00209,2025-11-12,Mombasa,Electronics,Opportunity,,2593.29,N/A,3266.87,,Prime Supply,retail
,2025-10-27,Eldoret,fashion,Community,,,N/A,55527.36,,,retail
TXN00211,2024-01-22,Kisumu,Electronics,Write,,,20,,67,ABC Ltd,Wholesale
TXN00212,2025-02-24,Nairobi,Electronics,Value,,,5,78096.19,,,Wholesale
TXN00213,2024-05-04,Kisumu,Home,Cup,,,0,13005.48,493,,Wholesale
TXN00214,2024-09-01,Mombasa,Home,Human,,3814.38,N/A,,,XYZ Traders,Retail
TXN00215,2024-12-24,Kisumu,Electronics,South,15,2438.44,15,27306.21,272,XYZ Traders,VIP
TXN00216,2024-02-12,Nairobi,Electronics,Them,,,5,,478,ABC Ltd,retail
TXN00217,2024-01-16,Kisumu,Groceries,Account,45,2764.56,N/A,,,,VIP
TXN00218,2024-05-03,Nakuru,Home,See,,,N/A,,,,VIP
,2024-11-02,Nakuru,fashion,Student,37,3056.29,20,,,ABC Ltd,retail
TXN00220,2025-10-20,Eldoret,Electronics,Occur,38,4328.65,0,,,,Retail
,2025-07-29,Nakuru,Home,Voice,12,,,96172.64,254,XYZ Traders,Retail
TXN00222,2025-05-20,Kisumu,Fashion,Discover,29,,15,,411,ABC Ltd,Wholesale
TXN00223,2025-10-20,Kisumu,Grocery,Less,,,N/A,,24,Prime Supply,VIP
,2024-11-25,Kisumu,Groceries,Partner,3,,20,,378,,Wholesale
TXN00225,2025-10-02,Eldoret,fashion,Show,,,15,,,,Wholesale
,2024-03-29,Nairobi,electronics,Mouth,4,4398.06,5,635.76,495,XYZ Traders,VIP
TXN00227,2025-04-02,Eldoret,Groceries,North,,,20,54495.43,371,,VIP
,2024-01-22,Mombasa,fashion,Still,,,10,,461,,retail
,2025-02-11,Kisumu,Electronics,Property,50,,15,,985,XYZ Traders,Retail
TXN00230,2025-12-22,Nakuru,Fashion,Sit,50,3579.51,N/A,,793,,Wholesale
TXN00231,2024-12-22,Kisumu,Home,Style,,1283.48,N/A,43902.85,533,Prime Supply,VIP
TXN00232,2025-09-06,Nairobi,Groceries,Let,5,,N/A,,,XYZ Traders,Retail
,2024-09-28,Nakuru,electronics,Store,,,20,,,XYZ Traders,Retail
,2025-03-05,Mombasa,Fashion,Around,,,20,,663,Prime Supply,retail
TXN00235,2024-04-16,Nairobi,Fashion,Certain,,,5,,,XYZ Traders,Wholesale
,2024-08-29,Eldoret,Grocery,Agent,,,0,75839.51,,Prime Supply,Retail
,2024-11-01,Nakuru,Fashion,Color,,,N/A,69506.92,124,,Wholesale
TXN00238,2025-03-06,Nairobi,Grocery,Church,,2920.06,10,64831.96,851,ABC Ltd,retail
TXN00239,2024-08-03,Eldoret,fashion,Environmental,,,5,,496,,Retail
TXN00240,2025-08-15,Kisumu,fashion,Cut,39,,5,,161,,Wholesale
TXN00241,2024-12-09,Mombasa,fashion,Community,,,15,56976.82,812,Prime Supply,retail
,2025-04-08,Eldoret,Groceries,Their,,3947.76,20,93246.27,,ABC Ltd,retail
,2025-05-09,Nairobi,fashion,Ability,47,4233.14,10,,202,Prime Supply,VIP
TXN00244,2025-07-20,Kisumu,Fashion,Check,,2246.1,N/A,,211,,Wholesale
TXN00245,2025-03-10,Nakuru,Home,Study,,,15,,,Prime Supply,Retail
,2024-05-26,Nakuru,fashion,Trade,,,N/A,,,Prime Supply,Wholesale
TXN00247,2024-07-27,Kisumu,fashion,Nothing,,2490.12,10,38980.68,,,retail
TXN00248,2024-08-08,Nairobi,Groceries,Interview,,,10,5443.25,,,Wholesale
TXN00249,2025-02-18,Kisumu,fashion,Which,8,,5,,165,XYZ Traders,VIP
TXN00250,2024-06-06,Kisumu,Electronics,Tax,8,2170.31,N/A,,696,,Retail
TXN00251,2024-04-29,Nakuru,Home,Trouble,,,,52540.81,,Prime Supply,Wholesale
,2025-04-07,Eldoret,Groceries,Focus,,,,35418.16,2,XYZ Traders,VIP
TXN00253,2025-01-23,Kisumu,fashion,Share,13,2979.96,15,,,ABC Ltd,retail
TXN00254,2024-01-24,Eldoret,Grocery,Scientist,,984.64,,75944.85,,,VIP
TXN00255,2024-05-23,Eldoret,Grocery,Drop,,,10,78851.9,,Prime Supply,Wholesale
TXN00256,2025-05-18,Mombasa,fashion,Conference,28,1348.96,,49697.24,,ABC Ltd,VIP
TXN00257,2024-02-06,Kisumu,Fashion,Real,,,10,,,Prime Supply,Wholesale
,2024-04-19,Eldoret,Electronics,My,49,,5,91295.7,,,VIP
TXN00259,2024-12-30,Nakuru,Grocery,Knowledge,5,,0,38121.26,,ABC Ltd,retail
TXN00260,2024-06-10,Eldoret,electronics,Successful,14,4913.17,5,94532.18,,XYZ Traders,retail
TXN00261,2025-02-11,Mombasa,Grocery,Return,35,1344.68,0,5582.52,910,,retail
,2025-09-21,Nairobi,Groceries,Force,17,2954.83,15,94154.29,575,,retail
TXN00263,2025-09-18,Nakuru,fashion,Traditional,50,,5,,,,VIP
TXN00264,2024-07-04,Nakuru,Fashion,Local,,,0,,,,retail
,2025-11-05,Nairobi,fashion,Available,,,0,,,Prime Supply,Retail
TXN00266,2024-07-02,Kisumu,Grocery,Determine,7,3967.31,N/A,28723.95,624,,VIP
,2024-07-20,Nairobi,Electronics,Girl,34,,,,284,,Retail
TXN00268,2024-09-13,Nairobi,fashion,Employee,,,5,,,,Wholesale
TXN00269,2025-06-03,Kisumu,electronics,Statement,37,3829.76,15,,827,,VIP
,2025-06-09,Mombasa,Home,Yes,,,,,230,,VIP
,2025-12-10,Kisumu,Groceries,Place,30,,10,83342.34,,Prime Supply,VIP
TXN00272,2025-11-26,Nairobi,Groceries,Pressure,38,,10,,,,Wholesale
,2025-05-30,Nairobi,Grocery,Per,12,,20,52061.51,409,Prime Supply,Wholesale
,2025-11-05,Eldoret,Fashion,Turn,25,,N/A,,,ABC Ltd,retail
TXN00275,2025-05-05,Eldoret,Grocery,Art,31,4456.33,10,,498,XYZ Traders,retail
,2025-12-30,Nakuru,Groceries,Anything,,,15,79534.05,518,Prime Supply,Retail
TXN00277,2024-05-15,Nairobi,Grocery,Per,,1960.65,15,45749.4,219,,VIP
TXN00278,2025-03-30,Mombasa,Groceries,Church,,,20,,926,Prime Supply,Wholesale
,2025-01-05,Mombasa,Fashion,Price,8,,N/A,,554,,Retail
,2025-11-10,Nakuru,Home,Concern,42,,15,,,ABC Ltd,Wholesale
TXN00281,2025-03-27,Mombasa,Fashion,During,,,15,,7,ABC Ltd,Wholesale
,2025-09-03,Eldoret,Fashion,Democratic,,,N/A,81379.04,543,ABC Ltd,VIP
,2024-07-20,Mombasa,Home,Girl,,,10,,,,Retail
TXN00284,2024-05-10,Nakuru,Groceries,Political,,,15,,,Prime Supply,retail
TXN00285,2024-04-16,Mombasa,Groceries,Their,,1384.75,5,,892,XYZ Traders,Retail
,2024-02-26,Eldoret,Grocery,Though,36,,0,14503.64,,,VIP
TXN00287,2025-09-13,Mombasa,Home,Allow,13,,20,17923.94,,XYZ Traders,VIP
TXN00288,2025-05-03,Eldoret,Fashion,Head,23,,15,47833.54,,,VIP
TXN00289,2024-05-30,Nairobi,Grocery,Maintain,,,,,,,retail
,2024-02-09,Eldoret,Groceries,Radio,,3833.71,20,37590.52,992,XYZ Traders,Wholesale
,2025-03-23,Nairobi,fashion,Mouth,33,,,83650.57,,Prime Supply,Wholesale
,2025-12-18,Mombasa,Grocery,He,,119.69,10,67992.86,,Prime Supply,Wholesale
TXN00293,2025-02-15,Mombasa,Groceries,Inside,39,,20,13922.45,37,Prime Supply,retail
TXN00294,2025-05-17,Nakuru,Grocery,Push,,,,2759.04,743,,VIP
TXN00295,2024-08-09,Mombasa,Groceries,Social,5,735.78,15,46870.56,,ABC Ltd,retail
,2025-01-07,Eldoret,Grocery,Live,,772.96,10,45115.23,795,ABC Ltd,VIP
TXN00297,2025-12-29,Kisumu,Grocery,Stuff,37,,0,,706,Prime Supply,Retail
TXN00298,2024-05-28,Kisumu,Home,Research,4,,,55912.9,,XYZ Traders,Wholesale
TXN00299,2024-08-10,Eldoret,Fashion,Throughout,,,10,,942,,VIP
TXN00300,2025-07-05,Kisumu,Grocery,Probably,,,0,80656.53,,XYZ Traders,Wholesale
TXN00301,2025-05-12,Nakuru,Home,Simply,42,2877.59,15,,,ABC Ltd,VIP
,2024-06-27,Kisumu,Groceries,Treat,,,0,,247,,retail
,2025-03-14,Mombasa,Groceries,Space,50,,15,,152,XYZ Traders,Wholesale
TXN00304,2024-01-17,Mombasa,Groceries,Remain,,1732.14,10,,,,Wholesale
TXN00305,2025-10-08,Eldoret,Grocery,Stay,7,1387.3,N/A,,,,retail
TXN00306,2024-01-10,Nakuru,fashion,Decide,49,,10,,514,XYZ Traders,VIP
